,TIMESTAMP,useractivity ID,useractivity activity,user
0,2020-03-12 08:51:19.996496,VX49217776219715861925680MD,Sign Up Successful,y_khanna
1,2020-03-12 08:56:07.575542,SX91391375684117773274361BD,JOKE menu access,y_khanna
2,2020-03-12 08:56:09.281017,PP53187418992478182927538VO,accessed add joke menu,y_khanna
3,2020-03-12 08:56:34.276635,BD5839149805668605482107HH,added joke,y_khanna
4,2020-03-12 08:56:36.940385,RU49612536257439957015764LG,accessed add joke menu,y_khanna
5,2020-03-12 10:39:13.784724,PR13825495271264261575512PP,added joke,y_khanna
6,2020-03-12 10:39:17.300830,VM80715609695610516953882LQ,Joke Main Menu to App Main Menu,y_khanna
7,2020-03-12 10:39:20.071556,VZ93747945720233568244390QI,App Log Out,y_khanna
8,2020-03-12 10:39:29.150722,TS48861854743852800700313OY,Security Passed Login successful,y_khanna
9,2020-03-12 10:39:35.057142,HO96030738959978989666653GD,App Log Out,y_khanna
10,2020-03-12 10:39:43.206731,BJ52800830481412287509915BH,stopped program,y_khanna
11,2020-03-12 10:40:13.922043,AM97340207113865075846750HU,Security Passed Login successful,y_khanna
12,2020-03-12 10:41:07.502645,XX65647723681667639335341SJ,JOKE menu access,y_khanna
13,2020-03-12 10:41:10.245796,HE7887717297386050743806OO,accessed add joke menu,y_khanna
14,2020-03-12 11:04:26.145573,WM3781990547214736461494DJ,added joke,y_khanna
15,2020-03-12 11:04:43.345428,FZ9562653668392346276417MX,viewed joke,y_khanna
16,2020-03-12 11:04:43.347375,KP49464865187741306196903JN,viewed PL82498982722067383070421ON,y_khanna
17,2020-03-12 11:05:59.798779,AA47050119562614699023505EP,user liked joke PL82498982722067383070421ON,y_khanna
18,2020-03-12 11:06:01.475487,KD41220204208110604460205DC,user chose to comment on joke PL82498982722067383070421ON,y_khanna
19,2020-03-12 11:06:16.095189,UJ71140763974504726198586XZ,user entered comment wtf on joke PL82498982722067383070421ON,y_khanna
20,2020-03-12 11:06:17.915090,KG38428138833397985990393HD,user confirmed joke comment wtf for reaction JY57584181282143991083684AO on joke PL82498982722067383070421ON,y_khanna
21,2020-03-12 11:06:19.630134,BR81228872458874537101791DR,user chose to rate joke PL82498982722067383070421ON,y_khanna
22,2020-03-12 11:16:35.639824,PN65505192350432542870620ZM,user rated 6 for joke PL82498982722067383070421ON,y_khanna
